	set1_id	set1_country	set1_city	set1_orgvisibility	set2_id	set2_country	set2_city	set2_orgvisibility	set1_orgname_with_city	set2_orgname_with_city	similarity
166	60273602	Egypt	Cairo	true	60273331	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
167	60273602	Egypt	Cairo	true	60274264	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
168	60273602	Egypt	Cairo	true	60274955	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
169	60273602	Egypt	Cairo	true	60273705	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
170	60273602	Egypt	Cairo	true	60216991	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
171	60273371	Egypt	Cairo	true	60004782	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
172	60273371	Egypt	Cairo	true	60273709	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
173	60273371	Egypt	Cairo	true	60273712	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
174	60273371	Egypt	Cairo	true	60274265	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
175	60273371	Egypt	Cairo	true	60216981	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
176	60274976	Egypt	Cairo	true	60217062	Egypt	Cairo	true	Faculty of Agriculture, Cairo	Faculty of Agriculture, Cairo	1.0
177	60273669	Egypt	Mansoura	true	60231617	Egypt	Mansoura	true	Faculty of Engineering, Mansoura	Faculty of Engineering, Mansoura	1.0
178	60273778	Egypt	6th October	true	60273464	Egypt	6th October	true	Faculty of Engineering, 6th October	Faculty of Engineering, 6th October	1.0
179	60273778	Egypt	6th October	true	60273591	Egypt	6th October	true	Faculty of Engineering, 6th October	Faculty of Engineering, 6th October	1.0
180	60273710	Egypt	Cairo	true	60274269	Egypt	Cairo	true	Faculty of Physical Therapy, Cairo	Faculty of Physical Therapy, Cairo	1.0
181	60273710	Egypt	Cairo	true	60273023	Egypt	Cairo	true	Faculty of Physical Therapy, Cairo	Faculty of Physical Therapy, Cairo	1.0
182	60274477	Egypt	Suez	true	60273300	Egypt	Suez	true	Faculty of Medicine, Suez	Faculty of Medicine, Suez	1.0
183	60273773	Egypt	6th October	true	60273390	Egypt	6th October	true	Faculty of Dentistry, 6th October	Faculty of Dentistry, 6th October	1.0
184	60273773	Egypt	6th October	true	60273582	Egypt	6th October	true	Faculty of Dentistry, 6th October	Faculty of Dentistry, 6th October	1.0
185	60273331	Egypt	Cairo	true	60002575	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
186	60273331	Egypt	Cairo	true	60278283	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
187	60273331	Egypt	Cairo	true	60273602	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
188	60273331	Egypt	Cairo	true	60274264	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
189	60273331	Egypt	Cairo	true	60274955	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
